PropertyID,Address ,Building Name,Suite,City,State,Postal Code,Market ,Sub Market Cluster,Sub Market,Micro Market,Property Type,Building Type,Building Sub Type,Building Sub Specialty,Building Class,Building Sub Class,Building Status,Space Type,Availability Type,Space Condition,Build Out Condition,Condition,Floors,Is Available,Is Vacant,Is Full Floor?,Is Full Building?,Is Divisibile?,View Space,Min Available s.f.,Max Available s.f.,Rent Low,Rent High,Rent Type,Sale Price,Floor Contig s.f.,Large Block (Bldg Contig) s.f.,Calculated Bldg Contig s.f.,Bldg Contig Rent,Operating Expenses p.s.f.,Taxes p.s.f.,Common Area Maintenance p.s.f.,Date on Market,Vacating Tenant Company,Date Vacant,New Tenant,Move In Date,Earliest Move In Timing,Earliest Move in Date,Minimum Lease Term Months,Maximum Lease Term Months,In Statistics?,Sublessor Company,Listing Broker Company,Amenities,Amenity Comments,Building Size,Building Primary Owner,Column Spacing Width,Column Spacing Depth,Building Location
27960,1 Corporate Dr,One Corporate,100,Long Grove,Illinois,60047,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,1st,No,No,No,No,No,,"7,238","7,238",$28.00,$30.00,Full Service Gross,,"7,238","7,238","3,243",,,,,4/15/2019,,,,12/31/2019,Specific Date,8/1/2019,,,Yes,,Lincoln Property Company,,,"420,580",Apollo Global Management,,,
27960,1 Corporate Dr,One Corporate,120,Long Grove,Illinois,60047,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,No,No,No,No,Yes,,"10,000","34,260",$26.00,$27.00,Full Service Gross,,"42,090","34,260","3,243",,,,,4/19/2019,,,,12/31/2019,Specific Date,12/1/2019,,,Yes,,Lincoln Property Company,,,"420,580",Apollo Global Management,,,
27960,1 Corporate Dr,One Corporate,130,Long Grove,Illinois,60047,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,No,No,No,No,No,,"4,587","4,587",$36.00,$40.00,Full Service Gross,,"42,090","4,587","3,243",,,,,4/19/2019,,,,12/31/2019,Specific Date,12/1/2019,,,Yes,,Lincoln Property Company,,,"420,580",Apollo Global Management,,,
27960,1 Corporate Dr,One Corporate,170,Long Grove,Illinois,60047,Chicago,Suburban,North Lake County,,Office,Office,Office,,A,,Existing,Direct,,,,,1st,Yes,No,No,No,No,,,"3,243",$25.38,$30.38,Full Service Gross,,,"3,243","3,243",,,,,12/19/2017,,,,,Specific Date,12/31/2019,,,Yes,,,,,"420,580",Apollo Global Management,,,
27965,1 Mid America Plz,One Mid America,110,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,1st,No,No,No,No,No,,"1,079","1,079",$38.44,$41.44,N,,"1,079","1,079","23,704",,,,,2/22/2019,,,,4/7/2019,,,,,Yes,,Avison Young,,,"204,630",Equus Capital Partners,,,
27965,1 Mid America Plz,One Mid America,130,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,1st,No,No,No,No,No,,"3,911","3,911",$16.50,$19.50,N,,"3,911","3,911","23,704",$22.00,,,,9/23/2013,,,,3/5/2019,,,,,Yes,,Avison Young,,,"204,630",Equus Capital Partners,,,
27965,1 Mid America Plz,One Mid America,250,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,2nd,Yes,Yes,No,No,No,,"3,285","3,285",$29.00,$32.00,Full Service Gross,,"3,285","3,285","23,704",,,,,2/14/2019,,,,,Vacant,,,,Yes,,Avison Young,,,"204,630",Equus Capital Partners,,,
27965,1 Mid America Plz,One Mid America,210,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,2nd,Yes,Yes,No,No,No,,"3,783","3,783",$0.00,$3.00,N,,"3,783","3,783","23,704",$22.00,,,,1/12/2010,,,,,Vacant,,,,Yes,,,,,"204,630",Equus Capital Partners,,,
27965,1 Mid America Plz,One Mid America,400,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,4th,Yes,Yes,Yes,No,Yes,,"4,000","23,704",$24.48,$29.48,N,,"23,704","23,704","23,704",$22.00,,,,6/1/2012,,,,,Vacant,,,,Yes,,,,,"204,630",Equus Capital Partners,,,
27965,1 Mid America Plz,One Mid America,850,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,,,,,8,No,No,No,No,No,,,"5,329",$40.00,$42.00,Full Service Gross,,,"5,329","23,704",,,,,9/1/2018,,,,10/1/2018,Vacant,,,,Yes,,,,,"204,630",Equus Capital Partners,,,
27965,1 Mid America Plz,One Mid America,,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Sublet,For Lease,,,,8th,No,No,No,No,No,,"9,224","9,224",$26.50,$30.50,Full Service Gross,,"9,224","9,224","23,704",$18.75,,,,2/26/2018,,,,5/13/2019,,,0,0,Yes,,Cresa,,,"204,630",Equus Capital Partners,,,
27965,1 Mid America Plz,One Mid America,870,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,8th,Yes,Yes,No,No,No,,"3,193","3,193",$60.00,$63.00,N,,"3,193","3,193","23,704",$22.00,,,,5/22/2018,,,,,Vacant,,0,0,Yes,,,,,"204,630",Equus Capital Partners,,,
27965,1 Mid America Plz,One Mid America,1050,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,10th,Yes,Yes,No,No,No,,"2,454","2,454",$14.00,$17.00,Full Service Gross,,"2,454","2,454","23,704",,,,,2/14/2019,,,,,Vacant,,,,Yes,,Avison Young,,,"204,630",Equus Capital Partners,,,
27965,1 Mid America Plz,One Mid America,1010,Oakbrook Terrace,Illinois,60181,Chicago,Suburban,Eastern East-West,Oak Brook,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,10th,No,No,No,No,No,,"9,504","9,504",$26.00,$31.00,N,,"9,504","9,504","23,704",$22.00,,,,3/22/2018,,11/1/2018,,5/14/2019,,,0,0,Yes,,Avison Young,,,"204,630",Equus Capital Partners,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,310,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,3rd,Yes,Yes,No,No,No,,"1,212","1,212",$20.00,$23.00,N,,"1,212","1,212","18,807",$23.00,,,,8/28/2018,,,,,Specific Date,12/1/2018,0,0,Yes,,,,,"634,747",New York Common Retirement Fund,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,450,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Spec,,4th,No,No,No,No,No,,"5,337","5,337",$28.00,$30.00,N,,"5,337","5,337","18,807",$25.00,,,,4/19/2018,,,,6/27/2019,,,,,Yes,,JLL,,,"634,747",New York Common Retirement Fund,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Sublet,For Lease,,,,6th,No,No,No,No,No,,"9,686","9,686",$44.00,$45.00,Full Service Gross,,"9,686","9,686","18,807",,,,,5/2/2019,,,,1/1/2020,Specific Date,6/1/2019,,,Yes,,JLL,,,"634,747",New York Common Retirement Fund,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,650,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,6th,Yes,Yes,No,No,No,,"2,799","2,799",$29.64,$33.64,N,,"2,799","2,799","18,807",$23.00,,,,8/3/2016,,,,,Vacant,,,,Yes,,,,,"634,747",New York Common Retirement Fund,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,900,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,9th,Yes,Yes,No,No,No,,"9,945","9,945",37,$41.00,,,,"9,945","18,807",,,,,12/4/2018,,,,,Vacant,,,,Yes,,JLL,,,"634,747",New York Common Retirement Fund,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,910,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,9th,Yes,Yes,No,No,No,,"3,186","3,186",0,$1.00,,,,"3,186","18,807",,,,,12/4/2018,,,,,Vacant,,,,Yes,,JLL,,,"634,747",New York Common Retirement Fund,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,950,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,9th,Yes,Yes,No,No,No,,"4,832","4,832",$39.00,$43.00,N,,"6,182","4,832","18,807",$23.00,,,,8/3/2016,,,,,Vacant,,,,Yes,,,,,"634,747",New York Common Retirement Fund,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,960,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,9th,Yes,Yes,No,No,No,,"1,350","1,350",$0.00,$2.00,N,,"6,182","1,350","18,807",$23.00,,,,1/26/2016,,,,,Vacant,,,,Yes,,,,,"634,747",New York Common Retirement Fund,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,1105,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,Excellent,11th,Yes,Yes,No,No,No,,"3,898","3,898",$41.50,$43.50,Full Service Gross,,"3,898","3,898","18,807",,,,,10/2/2019,,,,,Vacant,,,,Yes,,JLL,,,"634,747",New York Common Retirement Fund,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,1100,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,,,11th,Yes,Yes,No,No,No,,"5,003","5,003",$18.00,$20.00,N,,"5,003","5,003","18,807",$23.00,,,,3/12/2018,,,,,Vacant,,0,0,Yes,,,,,"634,747",New York Common Retirement Fund,,,
3136,1 N Franklin St,PNC Centre at One North Franklin,1125,Chicago,Illinois,60606,Chicago,CBD,West Loop,,Office,Office,Office,,A,,Existing,Direct,For Lease,,Partial Build-Out,,11th,Yes,Yes,No,No,No,,"5,756","5,756",$29.83,$33.83,N,,"5,756","5,756","18,807",$23.00,,,,6/23/2011,,,,,Vacant,,,,Yes,,,,,"634,747",New York Common Retirement Fund,,,
