PropertyID,Bldg Type,Bldg Subtype,Tenant,Tenant Industry Cluster,Tenant Industry,Tenant Sub Industry,Sublessor Company,Lease Industry Cluster,Lease Industry,Lease Sub Industry,Local Industry,Address,City,State,Zip,Bldg Name,Business Park,Market,Submarket,Micromarket,Bldg Class,Bldg Sub-class,Lease Size,Suite,Floor(s),View Space,Space Use Type,Space Use SubType,Space Condition,Dock Configuration Type,Term (mos),Date on Market,Sign Date,Commencement Date,Move-in Date,Expiration Date,Lease Type,Asking Rent,First Year Rent p.s.f.,Rent Type,Effective Rent p.s.f.,Average Rent p.s.f.,Escalation,Escalation Frequency,Escalation Type,Escalation Amount,Free Rent (mos),Free Rent ($),Free Rent Type,TIs p.s.f.,Improvement Comments,Renewal Option Date,Renewal Option Notification Date,Early Termination Notification Date,Submarket Cluster,Custom Cluster,Bldg Size,Bldg Status,Multi-floor?,Entire floor?,Transaction Type,Footprint,Previous Lease s.f.,Bldg Leasing Company,Agency Broker Company,Tenant Broker Company,Current Landlord,Property Management Company,Amenities,Amenity Comments,Lease Status,Encumbrances ?,Verification,Full Lease?,Followup Required?,Corp. HQ?,Total Lease Value,OpEx and Taxes p.s.f.,Taxes,Insurance,Parking Type,Parking Ratio,Parking Spaces,Parking Reserved Charges,Parking Unreserved Charges,Improvement Allowance Comments,Parking Secured,Construction Type,Construction Materials,Industrial AC,Crane Served?,Crane Count,Crane Capacity,Crane Hook Height,Crane Comments,Broke Ground Date,Build Date,Renovated Date,Latitude,Longitude,Most Expensive Street?,Prior Address,Prior Building Name,Prior Submarket,Tenant SIC Code,Tenant NAICS Code,Lease SIC Code,Lease NAICS Code
4613,Office,Office,Chowly,Retail,Grocery,Meal Kit & Food Delivery,,Retail,Grocery,Meal Kit & Food Delivery,,225 W Wacker Dr,Chicago,Illinois,60606,225 Wacker,,Chicago,West Loop,Wacker West,A,,"9,500",550,5,,Office,Office,1st Generation,,,,9/28/2019,12/1/2018,12/1/2018,,Direct,,,Full Service Gross,,,,Annual,Percent,,,,,,,,,,CBD,,"647,803",Existing,No,No,New Lease,Growing,,Transwestern,Avison Young,JLL,Equus Capital Partners,JLL,,,Occupied,No,,No,Yes,No,,,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1987,1/1/1989,,41.886399,-87.635246,Yes,,,,,,,
5319,Office,Office,West Unified Communication Services,Finance,Real Estate,CoWorking/Flexible Space,,Finance,Real Estate,CoWorking/Flexible Space,,500 W Madison St,Chicago,Illinois,60661,Accenture Tower,,Chicago,West Loop,,A,,"46,467",,,,Office,Office,,,,,9/24/2019,,,,Direct,,,Full Service Gross,,,,Annual,Percent,,,,,,,,,,CBD,,"1,369,689",Existing,No,No,Expansion,,,CBRE,CBRE,Cresa,"Fulcrum Asset Advisors, MJH Corporate Center I LLC",CBRE,,,Signed,No,Verified,No,Yes,Yes,,,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1984,1/1/1987,,41.88295,-87.640182,No,,,,,,,
5319,Office,Office,Chemical Personnel Research,Finance,Real Estate,CoWorking/Flexible Space,,,,,,500 W Madison St,Chicago,Illinois,60661,Accenture Tower,,Chicago,West Loop,,A,,"46,500",900,9,,Office,Office,1st Generation,,,,9/24/2019,1/1/2020,1/1/2020,,Direct,,,Full Service Gross,,,,Annual,Percent,,,,,,,,,,CBD,,"1,369,689",Existing,No,Yes,Expansion,Growing,,JLL,,Savills,Millbrook Real Estate Company,Tishman Speyer,,,Occupied,No,Verified,No,Yes,Yes,,,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1984,1/1/1987,,41.88295,-87.640182,No,,,,,,,
5001,Office,Creative,Avionos LLC,Food & Beverage,Food & Beverage Manufacturing & Processing,Food & Beverage Manufacturing & Processing,,Food & Beverage,Food & Beverage Manufacturing & Processing,Food & Beverage Manufacturing & Processing,,350 N Orleans St,Chicago,Illinois,60654,River North Point,The Apparel Center,Chicago,River North,,A,,"39,538",100,1,,Office,Office,1st Generation,,,,9/4/2019,,1/1/2020,,Direct,,,Full Service Gross,,,,Annual,Percent,,,,,,,,,,CBD,,"1,336,867",Existing,No,No,Expansion,,,Lincoln Property Company,JLL,CBRE,Colony Capital,EQ Office,,,Occupied,No,Verified,No,Yes,No,,,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1974,1/1/1977,1/1/2017,41.888034,-87.636764,No,,,,,,,
4385,Office,Office,Ardmore Roderick,Finance,Real Estate,CoWorking/Flexible Space,,Finance,Real Estate,CoWorking/Flexible Space,,200 W Madison St,Chicago,Illinois,60606,200 West Madison,,Chicago,West Loop,,A,,"45,400","200,300","2,3",,Office,Office,1st Generation,,,,9/1/2019,,,,Direct,,,Full Service Gross,,,,Annual,Percent,,,,,,,,,,CBD,,"1,066,900",Existing,Yes,Yes,New Lease,,,Transwestern,JLL,JLL,"Fulcrum Asset Advisors, MJH Corporate Center I LLC",Vornado Realty Trust,,,Signed,No,Verified,No,Yes,No,,,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1980,1/1/1983,,41.882192,-87.634349,No,,,,,,,
29475,Office,Office,Batory Foods,Finance,"Banks, Savings Institutions & Credit Unions",,,Finance,"Banks, Savings Institutions & Credit Unions",,,9550 W Higgins Rd,Rosemont,Illinois,60018,Pointe O'Hare I,Pointe O'Hare,Chicago,O'Hare,,A,,"26,239",,,,Office,Office,,,,,9/1/2019,10/1/2019,10/1/2019,,Direct,,,Full Service Gross,,,,Annual,Percent,,,,,,,,,,Suburban,,"270,512",Existing,No,No,Expansion,,,Colliers International,Cushman & Wakefield,,Sheffield Management,Zeller Realty Group,,,Occupied,No,Verified,No,Yes,No,,,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1999,1/1/2001,,41.993845,-87.86435,No,,,,,,,
27976,Office,Office,Crowe Horwath,,,,,,,,,1 Tower Ln,Oakbrook Terrace,Illinois,60181,Oakbrook Terrace Tower,,Chicago,Eastern East-West,Oak Brook,A,,"90,457",,13-16,,Office,Office,,,,,9/1/2019,,12/1/2019,,Direct,,,Full Service Gross,$21.00,,,Annual,Percent,,,,,,,,,,Suburban,,"792,192",Existing,No,Yes,New Lease,,,JLL,Zeller Realty Group,NAI Hiffman,Blackstone Group,JLL,,,Signed,No,Verified,No,Yes,No,,,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1985,1/1/1987,,41.858155,-87.95436,No,,,,,,,
107378,Office,Creative,Glencoe Capital,Finance,Real Estate,CoWorking/Flexible Space,,Finance,Real Estate,CoWorking/Flexible Space,,1155 W Fulton St,Chicago,Illinois,60607,,The Fulton Collection,Chicago,Fulton Market,,A,,"90,000",,2-4,,Office,Coworking,1st Generation,,,,8/12/2019,,,,Direct,,,Full Service Gross,,,,Annual,Percent,,,,,,,,,,CBD,,"100,008",Under Renovation,Yes,Yes,New Lease,Growing,,MBRE,GlenStar Properties,CBRE Global Investors,"Sterling Bay, Wanxiang America Corporation",Transwestern,,,Occupied,No,Verified,No,Yes,No,,,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1909,1/1/1910,9/1/2019,41.886653,-87.656408,No,,,,,,,
5319,Office,Office,Emil Van Essen LLC,,,,,,,,,500 W Madison St,Chicago,Illinois,60661,Accenture Tower,,Chicago,West Loop,,A,,"12,430",800,,,Office,,,,65,,8/6/2019,3/1/2020,3/1/2020,7/31/2025,Direct,,$24.50,NNN,,,Stepped $0.61,Stepped,Amount,0.6100,5,,,$16.00,,8/1/2025,7/31/2024,,CBD,,"1,369,689",Existing,No,No,New to Market,,,JLL,Telos Group,Cushman & Wakefield,BECO Management Inc.,Teamsters Local 731,,,Signed,No,,No,No,Yes,,$0.00,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1984,1/1/1987,,41.88295,-87.640182,No,,,,,,,
4369,Office,Mixed-Use,Nexum Inc,Professional and Business Services,General Professional and Business Services,,,,,,,20 W Kinzie St,Chicago,Illinois,60654,20 West Kinzie,,Chicago,River North,,A,,"2,000",,,,Office,,,,6,,8/1/2019,8/1/2019,8/1/2019,1/31/2020,Direct,,$0.00,Full Service Gross,,,Annual $0.00,Annual,Amount,0.0000,0,,,$0.00,,,,,CBD,,"258,658",Existing,No,No,Renewal,,,JLL,,,"Fulcrum Asset Advisors, Crestlight Capital",NAI Global,,,Occupied,No,,No,No,No,,$0.00,,,,,,,,,No,Spec ground-up,,,,,,,,1/1/1998,1/1/2000,,41.889422,-87.628927,No,20 W Kinzie St,20 West Kinzie,River North,,,,
