PropertyID,Property Type,Bldg Subtype,Address,Address 2,Address 3,Address 4,City,State,Zip,Bldg Name,Business Park,Improvement District,Market,Submarket,Micromarket,Bldg Type,Building Sub Type,Building Sub Specialty,Bldg Class,Bldg Sub-class,Bldg Size,Bldg Status,Office s.f.,Retail s.f.,Occ Rate,Available s.f.,Asking Rent,Leasing Company,Management Company,Primary Owner,Bldg Number,County,Township,Metropolitan Division,Latitude,Longitude,Submarket Cluster,Custom Cluster,Area Type,Prime?,Full Block?,Building Location,Most Expensive Street?,Atrium?,View,Owner Occupied?,Corp. HQ?,Tenancy,Stories,Story Type,Average Floor Plate Size,Core Factor Multi-tenant,Core Factor Single-Tenant,Total Unit Count,Average Unit Size,Studio Units,1 Bed Units,2 Bed Units,3+ Bed Units,Ceiling Height Feet,Ceiling Height Inches,Parking Type,Parking Ratio,Parking Spaces,Trailer Spaces,Parking-Reserved cost,Parking-Unreserved cost,OpEx & Taxes,OpEx,OpEx Year,Taxes,Energy-star?,Energy Efficiency,Parcel Number,Zoning,Parcel Size (acres),Broke Ground Date,Broke Ground Quarter,Broke Ground Year,Build Date,Build Quarter,Build Year,Upgrade Date,Upgrade Quarter,Upgrade Year,Renovated Broke Ground Date,Renovated Broke Ground Quarter,Renovated Broke Ground Year,Renovated Date,Renovated Quarter,Renovated Year,Demolished Date,Demolished Quarter,Demolished Year,Construction Type,Amenities,List Price,For Sale Listing Company,For Sale Comments,Mezzanine?,Core Type,Office Column Spacing Width,Office Column Spacing Depth,Free Trade Zone?,In-fill,Subway Service,Adjacent to Intermodal?,Walk Score,Transit Score,Bike Score,Crime Grade,Mixed Use,Expansion Potential,Industrial AC,Crane Comments,PAGI Report,eCommerce?
542081,Office,Office,I-90 At Randall Rd @ drn,,,,Elgin,Illinois,60124,"Build-To-Suit, Lots 2,3,4",Randall Point West,,Chicago,Northwest,,Office,Office,,A,,"226,900",Proposed Short-Term,,,,0,,CBRE,,American College of Surgeons,,Kane,,,42.08085,-88.335481,Suburban,,,No,No,,No,No,,,No,Unknown,2,Low-Rise,"113,450",,,,,,,,,,,,3.59,816,,,,,,2011,$0.10,No,,17-09-446-016-0000,PORI,,,,,1/1/2020,1,2020,,,,,,,,,,,,,,,,,,No,,,,No,,,No,6,27,,,,No,,,,No
608139,Office,Office,1 Astellas Way,,,,Northbrook,Illinois,60062,Building 1,,,Chicago,North Cook County,,Office,Office,,A,,"685,328",Existing,,,100%,0,,MB Real Estate Services,Teamsters Local 731,Kais & Lena Yehyawi,,Cook,,,42.10884,-87.869399,Suburban,,,No,No,,No,No,,Yes- Full,Yes,Single-Tenant,8,Low-Rise,"85,666",,,,,,,,,,,,,,,,,,,,,No,,"14-32-120-006-0000,  14-32-120-007-0000, 14-32-120-006-0000",,,1/1/2010,1,2010,1/1/2012,1,2012,,,,,,,,,,,,,,,,,,No,,,,No,,,No,,,,,,No,,,,No
27960,Office,Office,1 Corporate Dr,,,,Long Grove,Illinois,60047,One Corporate,Kemper Lakes Business Center,,Chicago,North Lake County,,Office,Office,,A,,"420,580",Existing,"420,580",,100%,"3,243",,JLL,JLL,Farbman Group,,Lake,,"Lake County-Kenosha County, IL-WI Metropolitan Division",42.201482,-88.038978,Suburban,,Suburban,No,No,,No,Yes,,No,No,Multi-Tenant,3,Low-Rise,"140,193",,,,,,,,,10,,Surface Lot,5,2103,,,,$6.94,$5.76,2014,$1.18,Yes,No,06-29-307-006,,,1/1/1969,1,1969,1/1/1971,1,1971,,,,,,,1/1/2007,1,2007,,,,Spec ground-up,,,,,No,Center,,,No,,More than 1 mile,No,,,,,,No,,,,No
397807,Office,Office,1 E Chicago Ave,,,,Chicago,Illinois,60611,One Chicago Square,,,Chicago,North Michigan Avenue,,Office,Office,,A,,"400,000",Proposed Long-Term,,,,0,$29.00,NAI Hiffman,Piedmont Office Realty Trust,Millbrook Real Estate Company,,Cook,,,41.896426,-87.627915,CBD,,,No,No,,No,No,,No,No,Multi-Tenant,76,Super-tall,"5,263",,,,,,,,,,,,,,,,,,,,,No,No,04-22-302-034-0000,,,,,,1/1/2021,1,2021,,,,,,,,,,,,,Spec ground-up,,,,,No,,,,No,,,No,,,,,,No,,,,No
27965,Office,Office,1 Mid America Plz,,,,Oakbrook Terrace,Illinois,60181,One Mid America,Mid America Plaza,,Chicago,Eastern East-West,Oak Brook,Office,Office,,A,,"204,630",Existing,"204,630",,82%,"36,419",,Newmark Knight Frank,,Webster Point LLC,,DuPage,,"Chicago-Aurora-Joliet, IL Metropolitan Division",41.848769,-87.958313,Suburban,,Suburban,No,No,,No,Yes,,No,No,Multi-Tenant,10,Mid-Rise,"20,463",,,,,,,,,,,Structured Parking,3.3,675,,,,$10.06,$7.87,2016,$2.19,Yes,No,15-36-423-001,C,,7/1/1983,3,1983,1/1/1985,1,1985,10/1/2018,4,2018,,,,,,,,,,Spec ground-up,,,,,No,Center,,,No,,More than 1 mile,No,,,,,,No,,,,No
608022,Office,Office,1 N Field Ct,,,,Lake Forest,Illinois,60045,Brunswick Corporation HQ,,,Chicago,North Lake County,,Office,Office,,A,,"130,401",Existing,,,100%,0,$49.00,BREIS Barrington RE Investment Services LLC,Astellas Pharma,"FGMK, LLC",,Lake,,,42.241254,-87.889128,Suburban,,,No,No,,No,No,,Yes- Full,Yes,Single-Tenant,4,Low-Rise,"32,600",,,,,,,,,,,,,,,,,,,,,No,,,,,1/1/1989,1,1989,1/1/1991,1,1991,,,,,,,,,,,,,,,,,,No,,,,No,,,No,,,,,,No,,,,No
3136,Office,Office,1 N Franklin St,,,,Chicago,Illinois,60606,PNC Centre at One North Franklin,,,Chicago,West Loop,,Office,Office,,A,,"634,747",Existing,"617,592",,85%,"108,444",,Van Vlissingen & Company,Navistar,Fred Kossari,,Cook,,"Chicago-Aurora-Joliet, IL Metropolitan Division",41.882284,-87.634983,CBD,,Urban,No,No,,No,No,Water,No,No,Multi-Tenant,37,High-Rise,"18,500",,,,,,,,,9,,Underground Garage,0.05,36,,,,$20.11,,2019,,Yes,Gold,12-02-301-010-0000,C1-2,,1/1/1989,1,1989,1/1/1991,1,1991,1/1/2017,1,2017,,,,,,,,,,Spec ground-up,"Conference / meeting center, Fitness center, Bike storage",,,,No,Center,,,No,,1 Block,No,,,,,,No,,,,No
27968,Office,Office,1 Overlook Pt,,,,Lincolnshire,Illinois,60069,One Overlook Point,Lincolnshire Corporate Center,,Chicago,North Lake County,,Office,Office,,A,,"206,626",Existing,"212,227",,63%,"75,628",$27.08,CBRE,EON Properties,Adventus Realty Trust,,Lake,,"Lake County-Kenosha County, IL-WI Metropolitan Division",42.184769,-87.931789,Suburban,,Suburban,No,No,,No,Yes,,No,No,Multi-Tenant,6,Low-Rise,"34,438",,,,,,,,,,,Structured Parking,3.6,764,,,,$8.75,$6.55,2011,$2.20,Yes,No,17-09-400-016-0000,O Ia,,7/1/1986,3,1986,1/1/1989,1,1989,,,,,,,,,,,,,Spec ground-up,,,,,No,Center,,,No,,More than 1 mile,No,,,,,,No,,,,No
27969,Office,Office,1 Parkview Plz,,,,Oakbrook Terrace,Illinois,60181,Parkview Plaza,,,Chicago,Eastern East-West,Oak Brook,Office,Office,,A,,"264,162",Existing,"264,162",,92%,"78,847",$23.21,JLL,,LifeSource,,DuPage,,"Chicago-Aurora-Joliet, IL Metropolitan Division",41.847215,-87.959783,Suburban,,Suburban,No,No,,No,Yes,,No,No,Multi-Tenant,9,Low-Rise,"29,351",,,,,,,,,,,Surface Lot,3.14,830,,,,$9.27,$7.39,2014,$1.88,Yes,Gold,11-18-104-036,C,,1/1/1991,1,1991,1/1/1993,1,1993,,,,,,,,,,,,,Spec ground-up,,,,,No,Center,,,No,,More than 1 mile,No,,,,,,No,,,,No
27970,Office,Office,1 Parkway N,,,,Deerfield,Illinois,60015,One Parkway North,Parkway North Center,,Chicago,North Lake County,,Office,Office,,A,,"271,500",Existing,"271,500",,91%,"24,031",,Sterling Bay,Edward Health Services,"Development Resources, INC.",,Lake,,"Lake County-Kenosha County, IL-WI Metropolitan Division",42.164154,-87.876648,Suburban,,Suburban,No,No,,No,Yes,,No,No,Multi-Tenant,5,Low-Rise,"54,300",,,,,,,,,,,Surface Lot,4,1086,,,,$9.13,$6.84,2014,$2.29,Yes,No,08-04-208-001,,,1/1/1986,1,1986,1/1/1988,1,1988,,,,,,,1/1/2016,1,2016,,,,Spec ground-up,,,,,No,Center,,,No,,More than 1 mile,No,,,,,,No,,,,No
