PropertyID,Bldg Type,Bldg Subtype,Sale Status,Active Marketing Date,Under Contract Date,Sold Date,Address,City,State,Zip,Bldg Name,Business Park,Market,Submarket,Micromarket,Bldg Class,Bldg Status,Tenancy,Bldg Size at Sale,Bldg Size,Sales Price,Price Est?,Portfolio?,Sale is Confidential,Parcel Size (acres),Parcel Number,Cap Rate,Occupancy at Sale,Asset Profile,Buyer,Buyer Company Participation %,Buyer Company Countries,Seller,Buyer Broker Company,Seller Broker Company,CAs,Tours,Bids,Construction Materials,Dock Configuration Type,Industrial AC,Crane Served?,Crane Comments,Submarket Cluster,Custom Cluster,Stories,Build Date,Renovated Date,Landlord Leasing Company,Management Company,Sale Type,Latitude,Longitude,Is Federal Sale?,Most Expensive Street?
5320,Office,Office,Sold,,,11/1/2019,500 W Monroe St,Chicago,Illinois,60661,500 West Monroe,,Chicago,West Loop,,A,Existing,,"966,317","966,317","$23,700,000",No,No,No,,17-16-103-015-0000,,100%,,Spear Capital Group,1.0000,,Duke Realty Corporation,,,,,,,,,,,CBD,,44,1/1/1992,,CBRE,EQ Office,Acquisition,41.880888,-87.640562,No,No
4297,Office,Office,Sold,,10/1/2019,11/1/2019,190 S LaSalle St,Chicago,Illinois,60603,190 S LaSalle Street,,Chicago,Central Loop,,A,Existing,,"798,782","798,782","$175,000,000",No,No,No,,17-16-210-015-0000,,9050%,,Wells Real Estate Funds,1.0000,,R2 Companies,,,,,,,,,,,CBD,,40,1/1/1986,,Colliers International,Millbrook Real Estate Company,Acquisition,41.879717,-87.63261,No,No
107344,Office,Creative,Sold,,,9/9/2019,811 W Fulton St,Chicago,Illinois,60607,811 West Fulton Market,811 Fulton,Chicago,Fulton Market,,A,Existing,,"63,909","63,909","$33,604,912",No,No,No,0,"17-09-310-001-0000, 17-09-310-007-0000",,100%,,America REIT II,1.0000,,"BlackRock, Golub & Company",,,,,,,,,,,CBD,,7,7/1/2018,,Guardian Realty Investors,Medline Industries,Acquisition,41.88664,-87.647951,No,No
107377,Office,Creative,Sold,,8/1/2019,9/1/2019,1330 W Fulton St,Chicago,Illinois,60607,Fulton West,,Chicago,Fulton Market,,A,Existing,,"290,000","266,110","$29,764,410",No,No,No,,,,9280%,,John Buck Company,1.0000,,SBC Communications,,Eastdil Secured,,,,,,,,,CBD,,8,4/1/2017,,GlenStar Properties,NAI Global,Acquisition,41.886927,-87.660103,No,No
28005,Office,Office,Sold,,,7/15/2019,1000 E Warrenville Rd,Naperville,Illinois,60563,1000 East Warrenville,Naperville Woods Office Center,Chicago,Western East-West,,A,Existing,Multi-Tenant,"267,000","267,000","$30,900,000",No,Yes,No,,08-06-202-017,,10000%,,Duke Realty Corporation,1.0000,,"Prudential Insurance Company of America, TMW Systems Incorporated",,,,,,,,,,,Suburban,,4,1/1/1988,,JLL,Hamilton Partners,Acquisition,41.807579,-88.132317,No,No
28086,Office,Office,Sold,,,7/15/2019,1100 E Warrenville Rd,Naperville,Illinois,60563,1100 East Warrenville,Naperville Woods Office Center,Chicago,Western East-West,,A,Existing,Multi-Tenant,"219,979","219,979","$22,600,000",No,Yes,No,,08-05-103-004,,10000%,,Unknown,1.0000,,America REIT II,,,,,,,,,,,Suburban,,4,1/1/1981,1/1/2007,NAI Hiffman,Tishman Speyer,Acquisition,41.808759,-88.129974,No,No
539331,Office,Office,Sold,,3/12/2019,6/12/2019,2600 Forbs Ave,Hoffman Estates,Illinois,60192,Planmeca USA HQ,,Chicago,Northwest,,A,Existing,Vacant,"90,000","90,000","$22,486,000",No,No,No,,,,0%,,CPA®:18,1.0000,,The Opus Group,Cushman & Wakefield,CBRE,,,,,,,,,Suburban,,1,5/1/2008,,CBRE,Tishman Speyer,Acquisition,42.069242,-88.199381,No,No
29081,Office,Office,Sold,,3/21/2019,3/21/2019,535 E Diehl Rd,Naperville,Illinois,60563,Washington Pointe,,Chicago,Western East-West,,A,Existing,,"163,956","163,956","$48,936,328",No,No,No,,08-06-410-001,,5000%,Opportunistic,"Draper & Kramer, M&J Wilkow",1.0000,,Prudential Insurance Company of America,HFF (dba JLL),HFF (dba JLL),,,,,,,,,Suburban,,4,1/1/1999,,Newmark Knight Frank,Zeller Management Corporation,Acquisition,41.804733,-88.139641,No,No
28233,Office,Office,Sold,,,3/12/2019,1415 W 22nd St,Oak Brook,Illinois,60523,Oak Brook Regency Tower,Oak Brook Regency Towers,Chicago,Eastern East-West,Oak Brook,A,Existing,,"220,860","220,860","$51,744,884",No,No,No,,06-26-100-009,,9000%,,Spear Street Capital,1.0000,,"Lincoln Property Company, Crestlight Capital, GFH Financial Group",,,,,,,,,,,Suburban,,13,1/1/1977,1/1/1993,GlenStar Properties,Walton Street Capital,Acquisition,41.846712,-87.955389,No,No
28660,Office,Office,Sold,11/1/2018,2/1/2019,3/1/2019,2441 Warrenville Rd,Lisle,Illinois,60532,Westwood 2,Westwood of Lisle,Chicago,Western East-West,,A,Existing,,"148,423","148,423",26729000,Yes,Yes,No,,08-04-208-001,,0%,,Atlas Financial Holdings,1.0000,,"Harbor Group International, IDB Group, Image Capital LLC",,,,,,,,,,,Suburban,,6,1/1/1991,1/1/1997,GlenStar Properties,Farbman Group,Acquisition,41.807819,-88.097664,No,No
